Subject,101,104,106,108,111,118,121,122,123,125,126,128,129,132,135,137,110,115,119,130,131,136,138,139,140
ClassicalMonocytes_B_pMAPKAPK2,0.195556355,0.304150373,0.319898894,0.168861578,0.508235968,0.425277385,0.383017058,0.315309945,0.404003933,0.526837857,0.233680518,0.339887138,0.380366477,0.438030432,0.506292945,0.281843911,0.472645022,0.226112985,0.285737417,0.058038928,0.3738567,0.358492601,0.280979979,0.305834568,0.284521726
ClassicalMonocytes_B_pERK,0.26613437,0.48256467,0.742298887,0.50422066,1.240523811,1.172766752,1.043795262,0.886946615,1.29936521,1.197587451,0.639517797,0.977199943,1.298265032,0.711842921,0.953660236,0.803612417,1.12566149,1.01665523,0.864985451,0.759260669,1.180846668,0.590698231,1.105410023,1.253207882,1.118419356
ClassicalMonocytes_B_pS6,0.337567618,0.435648262,0.497578375,0.385085485,0.980598488,0.749869282,0.37385152,0.272239549,0.785960878,0.892626606,0.54241827,0.933365278,0.647988793,0.845346866,0.786852328,0.509230771,0.802037345,0.446817214,0.501297202,0.384793838,0.30300102,0.596708634,0.264543449,0.354697429,0.41158082
ClassicalMonocytes_B_pP90RSK,0.042825904,0.097116259,0.136322876,0.069321523,0.470275194,0.397387543,0.48951999,0.42327392,0.485180517,0.55157861,0.278103361,0.39155601,0.439324513,0.260562893,0.405087459,0.357197929,0.429091462,0.404180425,0.387411765,0.248565991,0.367203407,0.26558701,0.548925727,0.650098587,0.570294457
NonClassicalMonocytes_B_pSTAT3,0.022329192,0.013486525,0.019256194,0.007394325,0.025456369,0.031447024,0.009781932,0.005049863,0.065696685,0.003742167,0.054854587,0.065481712,0.041222874,0.014976872,0.013747455,0.017443119,0.106139611,0.029743283,0.10967875,0.046066501,0.067851252,0.026428698,0.071400704,-0.028896097,0.009214425
NonClassicalMonocytes_B_pSTAT1,0.096562726,0.121401139,0.090074455,0.106425879,0.177692101,0.352152046,0.026603646,0.188594371,0.139720734,0.137834571,0.129346318,0.132781226,0.108064597,0.118931039,0.174473149,0.124191742,0.194464124,0.143192206,0.132856741,0.074939026,0.112026329,0.183845273,0.377896606,0.371783925,0.441066695
NonClassicalMonocytes_B_pCREB,0.373860903,0.338571589,0.394220654,0.344463062,0.833029636,0.846274429,0.460507707,0.806712721,0.604606886,0.660245754,0.538981001,0.633676074,0.566006255,0.506951088,0.382613027,0.458319679,0.645826166,0.627454194,0.487950585,0.432624516,0.546410556,0.437453732,0.532709067,0.978355423,0.785049767
NonClassicalMonocytes_B_pNFkB,0.028901028,0.063568263,0.066660396,0.068789524,0.173474266,0.219467363,0.126275508,0.260046376,0.186535689,0.186532061,0.177254821,0.179645806,0.155666541,0.140822772,0.090776868,0.154521446,0.336290242,0.259469096,0.093610635,0.132914698,0.168681336,0.081252488,0.193760203,0.222418955,0.213599899
NonClassicalMonocytes_B_pPLCg2,-0.225416429,0.021819744,-0.051866484,-0.080065153,-0.017901547,-0.002054012,-0.115748295,-0.148640409,0.027053927,-0.046200888,0.233156533,0.102038951,0.061842996,0.037231834,0.069581211,0.101861007,0.133964911,0.165706078,-0.136301092,0.015117867,-0.008714355,-0.062626298,0.056603647,-0.07531022,-0.23418792
NonClassicalMonocytes_B_pP38,0.055965016,0.063186882,0.122138615,0.038225267,0.235139916,0.281838377,0.15491786,0.322226424,0.256552703,0.214623265,0.223067558,0.231538542,0.177167973,0.163858357,0.134048469,0.186860793,0.246320627,0.181885083,0.175763125,0.123877309,0.196444404,0.149072945,0.268626926,0.497192909,0.200437912
